Unit 1.00000A
UntD 1.00000A
Bac 3646.00A
nFnu 3645.00A
nFnu 3647.00A
cout 3646.00A
thin 3646.00A
Inci 4860.00A
Inci 1215.00A
FIR 83.0000m
TIR 1800.00m
NIRa 2.85000m
NIRb 3.00000m
MIRa 15.0000m
MIRb 22.5000m
NMIR 21.7500m
TFIR 611.250m
TALL 10000.0A
F12 12.0000m
F25 25.0000m
F60 60.0000m
F100 100.000m
MIPS 24.0000m
MIPS 70.0000m
MIPS 160.000m
IRAC 3.60000m
IRAC 4.50000m
IRAC 5.80000m
IRAC 8.00000m
SPR1 250.000m
SPR2 350.000m
SPR3 500.000m
PAC1 70.0000m
PAC2 100.000m
PAC3 160.000m
PAH 3.30000m
PAHC 3.23000m
PAHC 3.37000m
PAH 6.20000m
PAHC 5.65000m
PAH 7.90000m
PAHC 6.90000m
PAH 11.3000m
PAHC 10.9000m
PAH 11.8000m
PAHC 12.6500m
PAH 13.3000m
PAHC 14.1000m
Bcon 3640.00A
Pcon 5000.00A
O3bn 5007.00A
SX 25.0000A
nFnu 23.5131c
nFnu 20.4636c
nFnu 6.61064c
nFnu 6.13700c
nFnu 3.55415c
nFnu 3.43208c
nFnu 3.40000c
nFnu 2.00329c
nFnu 1.33478c
nFnu 9993.08m
nFnu 6917.22m
nFnu 122.400m
nFnu 60.8322m
nFnu 41.2152m
nFnu 30.8695m
nFnu 24.7829m
nFnu 24.2998m
nFnu 22.8302m
nFnu 21.4199m
nFnu 21.1235m
nFnu 19.6199m
nFnu 17.6534m
nFnu 17.3700m
nFnu 15.6901m
nFnu 14.6036m
nFnu 12.4300m
nFnu 11.4000m
nFnu 10.4600m
nFnu 9.48002m
nInu 9.48002m
nFnu 9.32488m
nInu 9.32488m
nFnu 8.21035m
nInu 8.21035m
nFnu 7.58000m
nInu 7.58000m
nFnu 7.05026m
nInu 7.05026m
nFnu 4.11370m
nInu 4.11370m
nFnu 2.32440m
nInu 2.32440m
nFnu 1.64313m
nInu 1.64313m
nFnu 1.48022m
nInu 1.48022m
nFnu 1.43649m
nInu 1.43649m
nFnu 1.11867m
nInu 1.11867m
nFnu 8329.68A
nInu 8329.68A
nFnu 8078.61A
nInu 8078.61A
nFnu 6209.66A
nInu 6209.66A
nFnu 4885.36A
nInu 4885.36A
nFnu 3704.34A
nInu 3704.34A
nFnu 3587.67A
nInu 3587.67A
nFnu 2430.05A
nInu 2430.05A
nFnu 2392.03A
nInu 2392.03A
nFnu 2071.34A
nInu 2071.34A
nFnu 2052.68A
nInu 2052.68A
nFnu 1793.44A
nInu 1793.44A
nFnu 1585.12A
nInu 1585.12A
nFnu 1458.33A
